SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_name,player_id,season,minutes_last_7_days,minutes_last_28_days,acute_chronic_ratio,days_rest,is_back_to_back,back_to_back_count_month,injured_next_14_days
22021,1628389,0022101052,2022-03-18,MIA vs. OKC,W,25,8,10,0.8,0,0,0.0,3,3,1.0,2,7,9,3,1,0,0,2,19,25,1,Bam Adebayo,1628389,2021-22,206.0,917.0,0.8985823336968375,3.0,0,5.0,0
22021,1628389,0022101074,2022-03-21,MIA @ PHI,L,36,9,14,0.643,0,0,0.0,4,4,1.0,2,7,9,2,1,3,4,2,22,-1,1,Bam Adebayo,1628389,2021-22,211.0,921.0,0.9163952225841475,3.0,0,5.0,0
22021,1628389,0022101088,2022-03-23,MIA vs. GSW,L,34,9,16,0.563,0,0,0.0,7,10,0.7,5,4,9,4,1,0,4,1,25,-10,1,Bam Adebayo,1628389,2021-22,215.0,923.0,0.9317443120260022,2.0,0,5.0,0
22021,1628389,0022101103,2022-03-25,MIA vs. NYK,L,32,6,7,0.857,0,0,0.0,5,7,0.714,3,6,9,1,1,1,1,4,17,-14,1,Bam Adebayo,1628389,2021-22,217.0,921.0,0.9424538545059716,2.0,0,5.0,0
22021,1628389,0022101111,2022-03-26,MIA vs. BKN,L,24,5,8,0.625,0,1,0.0,4,6,0.667,2,4,6,2,1,2,4,3,14,-21,1,Bam Adebayo,1628389,2021-22,208.0,912.0,0.912280701754386,1.0,1,6.0,0
22021,1628389,0022101125,2022-03-28,MIA vs. SAC,W,32,10,16,0.625,0,0,0.0,2,2,1.0,4,11,15,1,2,1,2,3,22,24,1,Bam Adebayo,1628389,2021-22,207.0,913.0,0.9069003285870757,2.0,0,6.0,0
22021,1628389,0022101139,2022-03-30,MIA @ BOS,W,33,5,10,0.5,0,0,0.0,7,9,0.778,3,9,12,8,2,0,1,3,17,12,1,Bam Adebayo,1628389,2021-22,216.0,910.0,0.9494505494505495,2.0,0,6.0,0
22021,1628389,0022101164,2022-04-02,MIA @ CHI,W,26,7,9,0.778,0,0,0.0,2,2,1.0,0,7,7,3,0,0,4,3,16,14,1,Bam Adebayo,1628389,2021-22,217.0,891.0,0.9741863075196409,3.0,0,5.0,0
22021,1628389,0022101172,2022-04-03,MIA @ TOR,W,36,6,12,0.5,0,0,0.0,4,9,0.444,2,7,9,1,0,0,2,3,16,10,1,Bam Adebayo,1628389,2021-22,217.0,895.0,0.9698324022346368,1.0,1,6.0,0
22021,1628389,0022101181,2022-04-05,MIA vs. CHA,W,31,7,10,0.7,0,0,0.0,8,9,0.889,2,7,9,3,1,1,1,2,22,9,1,Bam Adebayo,1628389,2021-22,214.0,891.0,0.9607182940516273,2.0,0,5.0,0
22021,1628389,0022101207,2022-04-08,MIA vs. ATL,W,33,8,14,0.571,0,0,0.0,8,10,0.8,2,4,6,4,2,0,1,2,24,6,1,Bam Adebayo,1628389,2021-22,215.0,893.0,0.9630459126539754,3.0,0,5.0,0
22022,1628389,0022200007,2022-10-19,MIA vs. CHI,L,34,5,15,0.333,0,0,0.0,2,3,0.667,1,8,9,2,0,1,5,4,12,-15,1,Bam Adebayo,1628389,2022-23,225.0,899.0,1.0011123470522805,194.0,0,5.0,0
22022,1628389,0022200022,2022-10-21,MIA vs. BOS,L,35,8,11,0.727,0,0,0.0,3,4,0.75,3,5,8,5,2,0,5,4,19,20,1,Bam Adebayo,1628389,2022-23,228.0,910.0,1.0021978021978022,2.0,0,5.0,0
22022,1628389,0022200031,2022-10-22,MIA vs. TOR,W,36,4,6,0.667,0,1,0.0,2,2,1.0,0,7,7,1,0,0,3,3,10,5,1,Bam Adebayo,1628389,2022-23,231.0,910.0,1.0153846153846153,1.0,1,6.0,0
22022,1628389,0022200045,2022-10-24,MIA vs. TOR,L,38,4,14,0.286,0,0,0.0,6,6,1.0,4,6,10,3,1,2,3,1,14,5,1,Bam Adebayo,1628389,2022-23,243.0,911.0,1.0669593852908892,2.0,0,6.0,0
22022,1628389,0022200065,2022-10-26,MIA @ POR,W,28,6,11,0.545,0,1,0.0,6,7,0.857,3,5,8,3,1,0,3,3,18,17,1,Bam Adebayo,1628389,2022-23,235.0,906.0,1.0375275938189845,2.0,0,6.0,0
22022,1628389,0022200068,2022-10-27,MIA @ GSW,L,38,10,13,0.769,0,0,0.0,6,8,0.75,4,4,8,1,4,3,5,2,26,-12,1,Bam Adebayo,1628389,2022-23,242.0,900.0,1.0755555555555554,1.0,1,7.0,0
22022,1628389,0022200081,2022-10-29,MIA @ SAC,L,38,9,16,0.563,0,0,0.0,5,6,0.833,2,4,6,4,0,2,1,6,23,6,1,Bam Adebayo,1628389,2022-23,247.0,903.0,1.0941306755260243,2.0,0,7.0,0
22022,1628389,0022200104,2022-11-01,MIA vs. GSW,W,37,8,15,0.533,0,0,0.0,3,3,1.0,1,6,7,6,3,1,2,4,19,0,1,Bam Adebayo,1628389,2022-23,250.0,906.0,1.1037527593818985,3.0,0,6.0,0
22022,1628389,0022200109,2022-11-02,MIA vs. SAC,W,32,9,16,0.563,0,0,0.0,2,2,1.0,2,9,11,6,0,0,4,5,20,2,1,Bam Adebayo,1628389,2022-23,247.0,909.0,1.0869086908690868,1.0,1,7.0,0
22022,1628389,0022200121,2022-11-04,MIA @ IND,L,34,7,14,0.5,0,1,0.0,4,4,1.0,3,7,10,4,1,0,5,4,18,3,1,Bam Adebayo,1628389,2022-23,245.0,906.0,1.0816777041942607,2.0,0,7.0,0
22022,1628389,0022200150,2022-11-07,MIA vs. POR,L,33,8,14,0.571,0,0,0.0,0,1,0.0,2,3,5,3,1,1,1,1,16,2,1,Bam Adebayo,1628389,2022-23,240.0,906.0,1.0596026490066226,3.0,0,6.0,0
22022,1628389,0022200174,2022-11-10,MIA vs. CHA,W,39,6,15,0.4,0,1,0.0,6,6,1.0,2,12,14,4,2,0,5,5,18,9,1,Bam Adebayo,1628389,2022-23,251.0,914.0,1.098468271334792,3.0,0,6.0,0
22022,1628389,0022200189,2022-11-12,MIA vs. CHA,W,33,11,18,0.611,0,0,0.0,2,3,0.667,1,14,15,4,1,1,5,4,24,19,1,Bam Adebayo,1628389,2022-23,246.0,917.0,1.073064340239913,2.0,0,6.0,0
22022,1628389,0022200202,2022-11-14,MIA vs. PHX,W,36,9,18,0.5,0,1,0.0,12,14,0.857,6,4,10,1,1,0,3,2,30,12,1,Bam Adebayo,1628389,2022-23,244.0,923.0,1.0574214517876488,2.0,0,6.0,0
22022,1628389,0022200244,2022-11-20,MIA @ CLE,L,27,7,14,0.5,0,0,0.0,7,7,1.0,2,4,6,3,0,1,3,2,21,-20,1,Bam Adebayo,1628389,2022-23,234.0,917.0,1.0207197382769901,6.0,0,6.0,0
22022,1628389,0022200252,2022-11-21,MIA @ MIN,L,35,7,18,0.389,0,2,0.0,3,6,0.5,4,10,14,5,0,2,1,5,17,-11,1,Bam Adebayo,1628389,2022-23,237.0,919.0,1.031556039173014,1.0,1,6.0,0
22022,1628389,0022200265,2022-11-23,MIA vs. WAS,W,35,5,15,0.333,0,0,0.0,5,6,0.833,4,7,11,2,2,1,2,4,15,6,1,Bam Adebayo,1628389,2022-23,238.0,930.0,1.0236559139784946,2.0,0,6.0,0
22022,1628389,0022200277,2022-11-25,MIA vs. WAS,W,35,15,22,0.682,0,1,0.0,8,8,1.0,3,9,12,3,0,0,0,4,38,1,1,Bam Adebayo,1628389,2022-23,240.0,940.0,1.021276595744681,2.0,0,6.0,0
22022,1628389,0022200293,2022-11-27,MIA @ ATL,W,34,13,20,0.65,0,0,0.0,6,6,1.0,1,7,8,1,0,1,3,2,32,1,1,Bam Adebayo,1628389,2022-23,235.0,938.0,1.0021321961620469,2.0,0,6.0,0
22022,1628389,0022200314,2022-11-30,MIA @ BOS,L,38,10,19,0.526,1,1,1.0,2,2,1.0,1,5,6,5,2,0,5,5,23,-6,1,Bam Adebayo,1628389,2022-23,240.0,942.0,1.0191082802547768,3.0,0,6.0,0
22022,1628389,0022200328,2022-12-02,MIA @ BOS,W,38,10,18,0.556,0,0,0.0,8,9,0.889,1,6,7,3,1,1,2,3,28,7,1,Bam Adebayo,1628389,2022-23,242.0,948.0,1.021097046413502,2.0,0,6.0,0
22022,1628389,0022200357,2022-12-05,MIA @ MEM,L,39,5,13,0.385,0,0,0.0,5,5,1.0,1,4,5,4,0,0,1,0,15,9,1,Bam Adebayo,1628389,2022-23,254.0,963.0,1.0550363447559707,3.0,0,5.0,0
22022,1628389,0022200361,2022-12-06,MIA vs. DET,L,34,9,16,0.563,0,0,0.0,3,6,0.5,1,14,15,2,0,1,5,3,21,-12,1,Bam Adebayo,1628389,2022-23,253.0,965.0,1.0487046632124353,1.0,1,6.0,0
22022,1628389,0022200374,2022-12-08,MIA vs. LAC,W,36,14,21,0.667,0,0,0.0,3,3,1.0,4,6,10,4,1,0,2,0,31,13,1,Bam Adebayo,1628389,2022-23,254.0,968.0,1.0495867768595042,2.0,0,6.0,0
22022,1628389,0022200387,2022-12-10,MIA vs. SAS,L,32,5,11,0.455,0,1,0.0,2,5,0.4,2,7,9,4,0,0,0,3,12,4,1,Bam Adebayo,1628389,2022-23,251.0,974.0,1.030800821355236,2.0,0,6.0,0
